Team A,Team B,Value
"('Ashe', 'Rell')","(""Kai'Sa"", 'Nautilus')",0.66605
"('Ashe', 'Rell')","(""Kai'Sa"", 'Lulu')",0.6071000000000002
"('Ashe', 'Rell')","(""Kai'Sa"", 'Rakan')",0.5893999999999999
"('Ashe', 'Rell')","(""Kai'Sa"", 'Pyke')",0.6547750000000001
"('Ashe', 'Rell')","(""Kai'Sa"", 'Thresh')",0.62465
"('Ashe', 'Rell')","(""Kai'Sa"", 'Karma')",0.5907250000000001
"('Ashe', 'Rell')","(""Kai'Sa"", 'Nami')",0.703125
"('Ashe', 'Rell')","(""Kai'Sa"", 'Braum')",0.5566
"('Ashe', 'Rell')","(""Kai'Sa"", 'Leona')",0.5644750000000001
"('Ashe', 'Rell')","('Jhin', 'Nautilus')",0.6567750000000001
"('Ashe', 'Rell')","('Jhin', 'Lulu')",0.6963250000000002
"('Ashe', 'Rell')","('Jhin', 'Rakan')",0.581125
"('Ashe', 'Rell')","('Jhin', 'Pyke')",0.643
"('Ashe', 'Rell')","('Jhin', 'Thresh')",0.6753750000000001
"('Ashe', 'Rell')","('Jhin', 'Karma')",0.5832
"('Ashe', 'Rell')","('Jhin', 'Nami')",0.5328499999999999
"('Ashe', 'Rell')","('Jhin', 'Braum')",0.5955750000000001
"('Ashe', 'Rell')","('Jhin', 'Leona')",0.6102000000000002
"('Ashe', 'Rell')","('Ezreal', 'Nautilus')",0.6113
"('Ashe', 'Rell')","('Ezreal', 'Lulu')",0.55385
"('Ashe', 'Rell')","('Ezreal', 'Rakan')",0.5794000000000001
"('Ashe', 'Rell')","('Ezreal', 'Pyke')",0.6527750000000002
"('Ashe', 'Rell')","('Ezreal', 'Thresh')",0.6709000000000002
"('Ashe', 'Rell')","('Ezreal', 'Karma')",0.601475
"('Ashe', 'Rell')","('Ezreal', 'Nami')",0.611875
"('Ashe', 'Rell')","('Ezreal', 'Braum')",0.5103500000000001
"('Ashe', 'Rell')","('Ezreal', 'Leona')",0.597975
"('Ashe', 'Rell')","('Corki bot', 'Nautilus')",0.5206750000000001
"('Ashe', 'Rell')","('Corki bot', 'Lulu')",0.530975
